grape,colour,known_also_as
MARZEMINO,N,"BERZAMINO, BERZEMINO"
MAZZESE,N,
MERLOT,N,
MINNELLA BIANCA,B,
MOLINARA,N,"ROSSANO, ROSSANELLA"
MONICA,N,
"MONICA N,",,
MONTEPULCIANO,N,CORDISCO
MONTONICO BIANCO,B,UVA DELLA SCALA
MONTU',B,MONTUNI
MOSCATO BIANCO,B,"MUSCAT BLANC A PETIT GRAIN, MUSCAT DE CHAMBAVE, MOSCATO, MOSCATELLO, MOSCATELLONE, MUSCAT, MUSKATELLER, MOSCATO REALE, GELBER MUSKATELLER"
MOSCATO GIALLO,B,"MOSCATO, MOSCATELLO, MOSCATELLONE, GOLDMUSKATELLER, MUSCAT, MUSKATELLER"
MOSCATO NERO DI ACQUI,N,
MOSCATO ROSA Rs.,,"MOSCATO DELLE ROSE, ROSENMUSKATELLER"
MOSTOSA,B,
MULLER THURGAU,B,WEISSER RIESLING X MADELEINE ROYALE
NASCO,B,
NEBBIOLO,N,"SPANNA, CHIAVENNASCA, PRUNENT"
NEGRARA,N,
NEGRETTO,N,
NEGRO AMARO,N,"NEGROAMARO, NERO AMARO"
NERELLO CAPPUCCIO,N,"NERELLO MANTELLATO, (037) BOVALE GRANDE N., (054) CARIGNANO N."
NERELLO MASCALESE,N,
NERETTA CUNEESE,N,
NERETTO DI BAIRO,N,
NERO BUONO,N,
NEYRET,N,
NIEDDERA,N,
NIEDDU MANNU,N,
NOCERA,N,
NOSIOLA,B,
NOTARDOMENICO,N,SAN NICOLA
NURAGUS,B,
OLIVELLA NERA,N,
ORTRUGO,B,
OTTAVIANELLO,N,
PAMPANUTO,B,"PAMPANINO, (252) VERDECA B."
PASCALE,N,
PASSERINA,B,
PAVANA,N,SACCOLA
PECORELLO,B,
PECORINO,B,VISSANELLO
PERRICONE,N,"PIGNATELLO, BALBINO"
PETIT ROUGE,N,
PICCOLA NERA,N,
PICOLIT,B,
PIEDIROSSO,N,"PIEDE DI COLOMBO, PIEDE DI PALUMBO, PER' E PALUMMO, PALOMBINA"
PIGATO,B,"(80) FAVORITA B., (259) VERMENTINO B."
PIGNOLA,N,
PINELLA,B,"PINELLA BIANCA, PINELLO"
PINOT BIANCO,B,WEI
